Date,Time,S1_Temp,S2_Temp,S3_Temp,S4_Temp,S1_Light,S2_Light,S3_Light,S4_Light,S1_Sound,S2_Sound,S3_Sound,S4_Sound,S5_CO2,S5_CO2_Slope,S6_PIR,S7_PIR,Room_Occupancy_Count
12/24/17,1:06:48,25.38,25.38,24.88,25.75,0,0,0,0,0.06,0.05,0.06,0.06,365,-0.003846154,no motion detected,no motion detected,empty room
12/25/17,10:28:47,25.06,25.13,24.75,NA,10,11,48,33,0.08,NA,0.06,0.11,NA,0,no motion detected,no motion detected,empty room
12/22/17,11:45:20,25.44,25.63,24.94,25.81,155,234,70,54,NA,2.12,0.34,0.06,515,3.226923077,motion detected,no motion detected,2 persons
1/10/18,15:53:22,25.69,26.44,25.56,25.75,9,8,50,30,0.69,2.43,0.4,0.36,425,1.707692308,motion detected,motion detected,3 persons
12/26/17,0:36:22,25.31,25.38,24.94,25.81,0,0,0,0,0.08,0.05,0.05,0.09,NA,0,no motion detected,no motion detected,empty room
12/24/17,1:27:13,25.38,25.38,24.88,25.75,0,0,0,0,0.07,0.05,0.05,0.06,365,0,no motion detected,no motion detected,empty room
12/22/17,11:26:27,25.31,NA,24.81,25.75,NA,37,64,49,0.36,0.09,NA,0.09,450,0.984615385,motion detected,no motion detected,1 person
12/26/17,0:49:38,25.38,25.38,24.94,25.88,0,0,0,0,0.08,NA,0.06,NA,NA,0,no motion detected,no motion detected,empty room
12/23/17,1:18:41,25.31,25.31,24.88,25.75,0,0,0,0,0.06,0.05,0.06,0.06,370,0,no motion detected,no motion detected,empty room
1/10/18,16:46:59,25.81,26.06,25.75,25.88,4,4,NA,14,0.38,0.1,0.17,NA,735,2.811538462,motion detected,motion detected,3 persons
12/24/17,0:18:48,25.44,25.44,24.94,NA,0,0,0,0,0.06,0.05,0.06,0.06,370,0,no motion detected,no motion detected,empty room
1/11/18,1:33:54,25.19,25.19,24.75,25.25,0,0,0,0,0.07,0.05,0.06,0.09,345,0,no motion detected,no motion detected,empty room
12/22/17,12:08:49,25.63,27.44,25.06,25.94,157,NA,76,59,0.07,0.05,0.05,0.06,610,1.065384615,no motion detected,no motion detected,2 persons
12/26/17,1:21:48,25.38,25.38,24.94,25.81,0,0,0,0,0.08,0.05,0.06,NA,NA,0,no motion detected,no motion detected,empty room
1/10/18,16:01:02,25.69,26.38,25.56,25.75,9,10,32,29,NA,0.88,0.26,0.15,455,2.569230769,motion detected,motion detected,3 persons
12/24/17,0:28:30,25.44,25.44,NA,NA,0,0,0,0,0.06,NA,0.06,0.06,370,0,no motion detected,no motion detected,empty room
1/10/18,16:00:00,25.69,26.38,25.56,25.75,9,8,33,29,0.1,0.05,NA,0.09,445,2.542307692,no motion detected,no motion detected,3 persons
1/10/18,16:25:32,25.75,26.06,25.69,25.88,5,7,NA,22,0.08,0.13,0.06,0.09,595,3.665384615,no motion detected,no motion detected,3 persons
12/24/17,0:53:31,25.44,25.38,24.94,NA,0,0,0,0,0.07,0.05,0.06,0.06,365,-0.096153846,no motion detected,no motion detected,empty room
1/10/18,16:23:30,25.81,26.06,25.69,25.88,5,7,NA,21,0.1,0.07,0.08,0.09,580,3.630769231,no motion detected,no motion detected,3 persons
12/24/17,0:05:31,25.44,25.44,24.94,25.56,0,0,0,0,0.06,0.05,0.06,0.05,370,0,no motion detected,no motion detected,empty room
1/10/18,16:24:00,25.75,26.06,25.69,25.88,5,7,NA,21,0.13,NA,0.24,0.25,580,3.630769231,no motion detected,no motion detected,3 persons
12/24/17,0:11:39,25.44,25.44,24.94,NA,0,0,0,0,0.07,NA,0.06,0.06,370,0,no motion detected,no motion detected,empty room
12/22/17,11:15:13,25.25,24.94,24.75,NA,NA,35,59,45,0.28,0.05,NA,0.06,425,1.15,no motion detected,no motion detected,1 person
12/26/17,0:30:45,25.38,25.38,24.94,25.81,0,0,0,0,0.08,0.05,0.06,NA,NA,0,no motion detected,no motion detected,empty room
12/22/17,11:05:00,25.19,24.88,24.69,25.56,NA,35,58,44,0.15,0.13,0.23,0.06,405,0.807692308,no motion detected,no motion detected,1 person
12/25/17,10:33:23,25.13,25.13,24.75,25.75,10,12,49,NA,0.08,NA,0.06,NA,NA,0,no motion detected,no motion detected,empty room
12/24/17,0:07:34,25.44,25.44,24.94,25.63,0,0,0,0,0.07,0.05,0.06,0.06,370,0,no motion detected,no motion detected,empty room
12/26/17,1:25:53,25.38,25.38,24.94,25.75,0,0,0,0,0.07,0.05,0.06,0.11,NA,0,no motion detected,no motion detected,empty room
12/25/17,10:54:19,25.19,25.13,24.81,25.75,11,12,50,36,0.07,NA,0.06,0.09,NA,0,no motion detected,no motion detected,empty room
12/24/17,1:20:35,25.38,25.38,24.94,25.75,0,0,0,0,0.07,0.05,0.06,0.05,365,0,no motion detected,no motion detected,empty room
12/24/17,0:29:01,25.44,25.44,24.94,25.63,0,0,0,0,0.07,0.05,0.06,0.06,370,0,no motion detected,no motion detected,empty room
12/25/17,9:13:13,NA,NA,24.56,25.31,7,7,36,24,0.08,0.05,0.06,NA,NA,-0.180769231,no motion detected,no motion detected,empty room
12/23/17,0:19:28,25.38,25.38,24.94,25.75,0,0,0,0,0.06,0.05,NA,0.06,375,-0.296153846,no motion detected,no motion detected,empty room
12/25/17,9:52:02,NA,25.06,24.63,25.56,8,9,40,27,0.07,NA,0.06,0.09,NA,0,no motion detected,no motion detected,empty room
12/23/17,0:33:46,25.38,25.44,24.94,25.75,0,0,0,0,0.07,0.05,0.06,0.06,375,0,no motion detected,no motion detected,empty room
1/10/18,17:08:56,25.94,26.13,25.81,25.94,148,234,179,24,NA,0.2,0.46,0.11,785,1.673076923,motion detected,motion detected,2 persons
12/26/17,1:00:52,25.38,25.38,24.94,25.81,0,0,0,0,0.08,0.05,NA,0.11,NA,0,no motion detected,no motion detected,empty room
12/26/17,1:01:53,25.38,25.38,24.94,25.81,0,0,0,0,0.07,0.05,0.06,NA,NA,0,no motion detected,no motion detected,empty room
12/25/17,9:49:29,NA,25.06,24.63,25.5,9,9,43,29,0.08,0.05,0.06,0.09,NA,0,no motion detected,no motion detected,empty room
1/10/18,16:35:14,25.81,26.06,25.69,25.81,5,5,29,17,0.09,0.19,NA,0.09,650,2.784615385,motion detected,motion detected,3 persons
12/24/17,1:31:18,25.38,25.44,24.88,25.81,0,0,0,0,0.12,0.1,0.12,0.06,365,0,no motion detected,no motion detected,empty room
1/10/18,16:14:49,25.75,26.13,25.69,25.81,6,6,39,24,0.1,0.33,0.08,0.09,520,2.161538462,motion detected,no motion detected,3 persons
1/11/18,1:42:05,25.13,25.19,24.75,25.25,0,0,0,0,0.07,NA,0.05,0.08,345,0,no motion detected,no motion detected,empty room
12/23/17,1:42:41,25.38,25.31,24.88,25.75,0,0,0,0,0.07,0.05,0.06,0.06,370,0,no motion detected,no motion detected,empty room
12/23/17,1:40:08,25.31,25.31,24.81,25.75,0,0,0,0,0.07,NA,0.06,0.06,370,0,no motion detected,no motion detected,empty room
12/22/17,10:52:14,NA,24.81,24.56,25.44,121,34,54,40,0.13,0.06,0.06,0.07,390,0.165384615,no motion detected,no motion detected,1 person
1/11/18,1:04:48,25.19,25.25,24.81,25.25,0,0,0,0,0.07,0.05,0.05,0.09,345,0,no motion detected,no motion detected,empty room
12/25/17,9:19:21,NA,NA,24.56,25.38,7,7,36,24,0.07,0.05,NA,NA,NA,-0.180769231,no motion detected,no motion detected,empty room
12/22/17,10:53:46,NA,24.81,24.56,25.5,122,35,56,43,0.09,0.05,0.06,0.13,390,-0.1,no motion detected,no motion detected,1 person
1/11/18,0:56:38,25.19,25.25,24.81,25.31,0,0,0,0,0.07,0.05,0.06,0.09,345,0,no motion detected,no motion detected,empty room
12/22/17,11:34:06,25.38,25.38,24.88,25.75,157,241,68,53,0.54,0.55,0.21,0.18,445,0.45,motion detected,no motion detected,2 persons
1/11/18,0:12:43,25.25,25.25,24.88,25.31,0,0,0,0,0.07,NA,0.06,0.08,345,0,no motion detected,no motion detected,empty room
1/11/18,0:22:25,25.25,25.25,24.81,25.38,0,0,0,0,0.07,NA,0.06,0.08,345,0,no motion detected,no motion detected,empty room
1/11/18,1:21:39,25.19,25.25,24.75,25.31,0,0,0,0,0.08,0.05,0.06,0.09,345,0,no motion detected,no motion detected,empty room
12/25/17,10:24:42,25.13,25.13,24.69,NA,10,11,48,34,0.07,0.05,0.05,NA,NA,0,no motion detected,no motion detected,empty room
1/10/18,16:24:31,25.75,26.06,25.69,25.88,5,7,NA,22,0.09,0.05,NA,0.08,585,3.615384615,no motion detected,no motion detected,3 persons
12/25/17,10:03:16,25.06,25.06,24.69,25.56,9,10,44,29,0.08,0.05,0.06,NA,NA,0,no motion detected,no motion detected,empty room
1/10/18,16:03:04,25.69,26.19,25.56,25.75,8,8,30,29,0.14,0.57,0.2,0.09,475,2.673076923,no motion detected,motion detected,3 persons
1/11/18,0:35:11,25.25,25.25,24.88,25.31,0,0,0,0,0.07,NA,0.05,0.09,345,0,no motion detected,no motion detected,empty room
12/24/17,0:22:22,25.44,25.44,NA,NA,0,0,0,0,0.06,0.05,0.06,0.07,370,0,no motion detected,no motion detected,empty room
12/25/17,9:52:32,NA,25.06,24.63,25.56,8,9,40,27,0.08,NA,0.06,NA,NA,0,no motion detected,no motion detected,empty room
12/22/17,11:35:08,25.44,25.44,24.88,25.75,157,240,70,54,0.47,0.25,0.14,0.11,450,0.311538462,motion detected,no motion detected,2 persons
12/22/17,11:19:49,25.25,NA,24.81,25.63,NA,35,59,45,0.29,0.08,0.1,0.07,440,0.934615385,no motion detected,no motion detected,1 person
1/10/18,16:40:21,25.81,26.25,25.75,25.88,4,5,35,16,0.34,0.38,0.11,0.11,685,3.938461538,motion detected,motion detected,3 persons
12/25/17,10:37:59,25.13,25.13,24.75,25.75,10,12,49,NA,0.08,0.05,0.06,NA,NA,0,no motion detected,no motion detected,empty room
